,4-5.cpp,3-1.cpp,4-1.cpp,3-2.cpp,4-3.cpp,1-5.cpp,2-2.cpp,1-3.cpp,3-3.cpp,1-4.cpp,2-5.cpp,4-2.cpp,1-1.cpp,4-4.cpp,3-5.cpp,1-2.cpp,3-4.cpp,2-4.cpp,2-1.cpp,2-3.cpp
4-5.cpp,1.0,0.04819277108433735,0.8024316109422492,0.045180722891566265,0.963855421686747,0.05042016806722689,0.0,0.03278688524590164,0.04819277108433735,0.02702702702702703,0.0,0.9909638554216867,0.0423728813559322,0.5903614457831325,0.05120481927710843,0.024193548387096774,0.05120481927710843,0.0,0.0,0.0
3-1.cpp,0.04819277108433735,1.0,0.0486322188449848,0.9260204081632653,0.04747774480712166,0.025210084033613446,0.01904761904761905,0.02459016393442623,0.9384236453201971,0.009009009009009009,0.014814814814814815,0.04790419161676647,0.025423728813559324,0.031073446327683617,0.8814814814814815,0.016129032258064516,0.5665024630541872,0.01904761904761905,0.0,0.0
4-1.cpp,0.8024316109422492,0.0486322188449848,1.0,0.04559270516717325,0.8237082066869301,0.03361344537815126,0.01904761904761905,0.03278688524590164,0.0486322188449848,0.009009009009009009,0.007407407407407408,0.8024316109422492,0.025423728813559324,0.5714285714285714,0.04559270516717325,0.024193548387096774,0.057750759878419454,0.01904761904761905,0.0,0.0
3-2.cpp,0.045180722891566265,0.9260204081632653,0.04559270516717325,1.0,0.04451038575667656,0.025210084033613446,0.01904761904761905,0.02459016393442623,0.8852040816326531,0.009009009009009009,0.014814814814814815,0.04491017964071856,0.025423728813559324,0.031073446327683617,0.8647959183673469,0.016129032258064516,0.5433673469387755,0.01904761904761905,0.0,0.0
4-3.cpp,0.963855421686747,0.04747774480712166,0.8237082066869301,0.04451038575667656,1.0,0.058823529411764705,0.0,0.03278688524590164,0.04747774480712166,0.02702702702702703,0.0,0.9730538922155688,0.0423728813559322,0.5756676557863502,0.04747774480712166,0.024193548387096774,0.05341246290801187,0.0,0.0,0.0
1-5.cpp,0.05042016806722689,0.025210084033613446,0.03361344537815126,0.025210084033613446,0.058823529411764705,1.0,0.0,0.29411764705882354,0.025210084033613446,0.6126126126126126,0.008403361344537815,0.05042016806722689,0.6949152542372882,0.025210084033613446,0.025210084033613446,0.6470588235294118,0.025210084033613446,0.0,0.0,0.0
2-2.cpp,0.0,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.0,0.0,1.0,0.02857142857142857,0.02857142857142857,0.0,0.44761904761904764,0.0,0.0,0.009523809523809525,0.0380952380952381,0.0,0.02857142857142857,1.0,0.0,0.0
1-3.cpp,0.03278688524590164,0.02459016393442623,0.03278688524590164,0.02459016393442623,0.03278688524590164,0.29411764705882354,0.02857142857142857,1.0,0.02459016393442623,0.2972972972972973,0.00819672131147541,0.03278688524590164,0.2796610169491525,0.02459016393442623,0.01639344262295082,0.2540983606557377,0.01639344262295082,0.02857142857142857,0.0,0.0
3-3.cpp,0.04819277108433735,0.9384236453201971,0.0486322188449848,0.8852040816326531,0.04747774480712166,0.025210084033613446,0.02857142857142857,0.02459016393442623,1.0,0.009009009009009009,0.014814814814814815,0.04790419161676647,0.025423728813559324,0.031073446327683617,0.8666666666666667,0.016129032258064516,0.6053921568627451,0.02857142857142857,0.0,0.0
1-4.cpp,0.02702702702702703,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.02702702702702703,0.6126126126126126,0.0,0.2972972972972973,0.009009009009009009,1.0,0.009009009009009009,0.02702702702702703,0.8378378378378378,0.009009009009009009,0.009009009009009009,0.6576576576576577,0.0,0.0,0.0,0.0
2-5.cpp,0.0,0.014814814814814815,0.007407407407407408,0.014814814814814815,0.0,0.008403361344537815,0.44761904761904764,0.00819672131147541,0.014814814814814815,0.009009009009009009,1.0,0.0,0.00847457627118644,0.0,0.014814814814814815,0.008064516129032258,0.014814814814814815,0.44761904761904764,0.0,0.0
4-2.cpp,0.9909638554216867,0.04790419161676647,0.8024316109422492,0.04491017964071856,0.9730538922155688,0.05042016806722689,0.0,0.03278688524590164,0.04790419161676647,0.02702702702702703,0.0,1.0,0.0423728813559322,0.5988023952095808,0.05089820359281437,0.024193548387096774,0.05089820359281437,0.0,0.0,0.0
1-1.cpp,0.0423728813559322,0.025423728813559324,0.025423728813559324,0.025423728813559324,0.0423728813559322,0.6949152542372882,0.0,0.2796610169491525,0.025423728813559324,0.8378378378378378,0.00847457627118644,0.0423728813559322,1.0,0.01694915254237288,0.025423728813559324,0.7372881355932204,0.01694915254237288,0.0,0.0,0.0
4-4.cpp,0.5903614457831325,0.031073446327683617,0.5714285714285714,0.031073446327683617,0.5756676557863502,0.025210084033613446,0.009523809523809525,0.02459016393442623,0.031073446327683617,0.009009009009009009,0.0,0.5988023952095808,0.01694915254237288,1.0,0.03389830508474576,0.016129032258064516,0.04519774011299435,0.009523809523809525,0.0,0.0
3-5.cpp,0.05120481927710843,0.8814814814814815,0.04559270516717325,0.8647959183673469,0.04747774480712166,0.025210084033613446,0.0380952380952381,0.01639344262295082,0.8666666666666667,0.009009009009009009,0.014814814814814815,0.05089820359281437,0.025423728813559324,0.03389830508474576,1.0,0.016129032258064516,0.5234567901234568,0.0380952380952381,0.0,0.0
1-2.cpp,0.024193548387096774,0.016129032258064516,0.024193548387096774,0.016129032258064516,0.024193548387096774,0.6470588235294118,0.0,0.2540983606557377,0.016129032258064516,0.6576576576576577,0.008064516129032258,0.024193548387096774,0.7372881355932204,0.016129032258064516,0.016129032258064516,1.0,0.016129032258064516,0.0,0.0,0.0
3-4.cpp,0.05120481927710843,0.5665024630541872,0.057750759878419454,0.5433673469387755,0.05341246290801187,0.025210084033613446,0.02857142857142857,0.01639344262295082,0.6053921568627451,0.0,0.014814814814814815,0.05089820359281437,0.01694915254237288,0.04519774011299435,0.5234567901234568,0.016129032258064516,1.0,0.02857142857142857,0.0,0.0
2-4.cpp,0.0,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.0,0.0,1.0,0.02857142857142857,0.02857142857142857,0.0,0.44761904761904764,0.0,0.0,0.009523809523809525,0.0380952380952381,0.0,0.02857142857142857,1.0,0.0,0.0
2-1.cpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
